Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Logo,Logo Row 1,Logo Row 2
Nenas Pastry Bar,nenas-pastry-bar,65c582990a5cea88721bd202,65c582990a5cea88721bd22d,false,false,Tue Feb 14 2023 17:48:59 GMT+0000 (Coordinated Universal Time),Tue Feb 14 2023 17:48:59 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),,false,false
Nike,nike,65c582990a5cea88721bd202,65c582990a5cea88721bd14a,false,false,Tue Feb 14 2023 17:20:38 GMT+0000 (Coordinated Universal Time),Sun Sep 29 2024 23:37:00 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),,true,false
O,o,65c582990a5cea88721bd202,671122620cc181c0e9a814d7,false,true,Thu Oct 17 2024 14:42:42 GMT+0000 (Coordinated Universal Time),Mon Dec 30 2024 21:15:13 GMT+0000 (Coordinated Universal Time),,,false,false
O'Keeffe's,okeeffes,65c582990a5cea88721bd202,66fc50e3b2a05184247b1b51,false,false,Tue Oct 01 2024 19:43:31 GMT+0000 (Coordinated Universal Time),Tue Oct 01 2024 19:43:31 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),,false,true
PL Marketing,pl-marketing,65c582990a5cea88721bd202,689ddb01fccd0c1f58ccb10e,false,false,Thu Aug 14 2025 12:48:01 GMT+0000 (Coordinated Universal Time),Thu Aug 14 2025 12:48:05 GMT+0000 (Coordinated Universal Time),Thu Aug 14 2025 13:09:23 GMT+0000 (Coordinated Universal Time),,false,false
Print Your Cause,print-your-cause,65c582990a5cea88721bd202,65c582990a5cea88721bd168,false,false,Tue Feb 14 2023 17:19:06 GMT+0000 (Coordinated Universal Time),Thu Feb 15 2024 15:55:10 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6392268cd1a3bc5df594bfa5/65ce33d2dde005b2cf21fc93_logo-pyc.png,false,false
Process Quickly,process-quickly,65c582990a5cea88721bd202,65c582990a5cea88721bd14d,false,false,Tue Feb 14 2023 17:19:14 GMT+0000 (Coordinated Universal Time),Thu Feb 15 2024 15:54:54 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6392268cd1a3bc5df594bfa5/65ce33cdce2bc893c7440030_logo-pq.png,false,false
SAG-AFTRA,sag-aftra,65c582990a5cea88721bd202,65c582990a5cea88721bd145,false,false,Tue Feb 14 2023 17:22:02 GMT+0000 (Coordinated Universal Time),Tue Oct 01 2024 20:21:31 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),,false,false
Serene Suites,serene-suites,65c582990a5cea88721bd202,65c582990a5cea88721bd203,false,false,Tue Feb 14 2023 17:48:04 GMT+0000 (Coordinated Universal Time),Thu Feb 15 2024 15:53:42 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6392268cd1a3bc5df594bfa5/65ce3378b7813033c4681192_logo-serene.png,false,false
Suade,suade,65c582990a5cea88721bd202,65c582990a5cea88721bd238,false,false,Tue Feb 14 2023 17:20:22 GMT+0000 (Coordinated Universal Time),Thu Feb 15 2024 15:54:05 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6392268cd1a3bc5df594bfa5/65ce339b3a121cb5fd6482ae_logo-suade.png,false,false
Sustainable Travel and Living,sustainable-travel-and-living,65c582990a5cea88721bd202,689de0fe81b9cb04c24b4c81,false,false,Thu Aug 14 2025 13:13:34 GMT+0000 (Coordinated Universal Time),Thu Aug 14 2025 13:13:38 GMT+0000 (Coordinated Universal Time),Thu Aug 14 2025 13:15:55 GMT+0000 (Coordinated Universal Time),,false,false
The Grocery Runners,the-grocery-runners,65c582990a5cea88721bd202,65c582990a5cea88721bd233,false,false,Sun May 07 2023 17:07:43 GMT+0000 (Coordinated Universal Time),Thu Feb 15 2024 15:52:13 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6392268cd1a3bc5df594bfa5/65ce332b7ceffba2ecfda882_logo-grocery.png,false,false
Three Sixty Merchandise,three-sixty-merchandise,65c582990a5cea88721bd202,689e0721941261add19868c4,false,false,Thu Aug 14 2025 15:56:17 GMT+0000 (Coordinated Universal Time),Thu Aug 14 2025 15:56:18 GMT+0000 (Coordinated Universal Time),Thu Aug 14 2025 16:11:48 GMT+0000 (Coordinated Universal Time),,false,false
TruBlue House Care,trublue-house-care,65c582990a5cea88721bd202,65c582990a5cea88721bd22c,false,false,Tue Feb 14 2023 17:19:58 GMT+0000 (Coordinated Universal Time),Thu Feb 15 2024 15:54:23 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6392268cd1a3bc5df594bfa5/65ce33ae9ee1c85de697a269_logo-trublue.png,false,false
UCLA,ucla,65c582990a5cea88721bd202,65c582990a5cea88721bd1b9,false,false,Tue Feb 14 2023 17:18:41 GMT+0000 (Coordinated Universal Time),Thu Feb 15 2024 15:55:42 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6392268cd1a3bc5df594bfa5/65ce33fd0de81406a3b28f0b_logo-ucla.png,false,true
VCU,vcu,65c582990a5cea88721bd202,65c582990a5cea88721bd147,false,false,Tue Feb 14 2023 17:21:12 GMT+0000 (Coordinated Universal Time),Fri Feb 09 2024 15:32:08 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),,false,false
Vitis Technologies,vitis-technologies,65c582990a5cea88721bd202,689e02dd6f70eb583ee0b5e6,false,false,Thu Aug 14 2025 15:38:05 GMT+0000 (Coordinated Universal Time),Thu Aug 14 2025 15:38:16 GMT+0000 (Coordinated Universal Time),Thu Aug 14 2025 15:48:56 GMT+0000 (Coordinated Universal Time),,false,false
Voltic,voltic,65c582990a5cea88721bd202,65c582990a5cea88721bd45a,false,false,Mon Nov 13 2023 18:15:05 GMT+0000 (Coordinated Universal Time),Thu Feb 15 2024 15:51:31 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6392268cd1a3bc5df594bfa5/65ce33025e52b68ef0562d77_logo-voltic.png,false,false
Wanamakers,wanamakers,65c582990a5cea88721bd202,65c582990a5cea88721bd197,false,false,Tue Feb 14 2023 17:51:22 GMT+0000 (Coordinated Universal Time),Thu Feb 15 2024 15:53:18 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6392268cd1a3bc5df594bfa5/65ce336c7a11fbe311a5586e_logo-wm.png,false,false
Windward Bank,windward-bank,65c582990a5cea88721bd202,6701c1539dc446a72ba03de5,false,false,Sat Oct 05 2024 22:44:35 GMT+0000 (Coordinated Universal Time),Sat Oct 05 2024 22:44:35 GMT+0000 (Coordinated Universal Time),Tue May 13 2025 13:18:25 GMT+0000 (Coordinated Universal Time),,false,false
